"Sl No","Name","Version","Type","Group","Licenses","License Type","BOM-REF"
"52","httpcore","1.0.9","library","","","Unknown","pkg:pypi/httpcore@1.0.9"
"53","filelock","3.24.3","library","","","Unknown","pkg:pypi/filelock@3.24.3"
"54","safetensors","0.7.0","library","","","Unknown","pkg:pypi/safetensors@0.7.0"
"55","regex","2024.7.24","library","","","Unknown","pkg:pypi/regex@2024.7.24"
"56","torch","2.10.0","library","","","Unknown","pkg:pypi/torch@2.10.0"
"57","tiktoken","0.7.0","library","","","Unknown","pkg:pypi/tiktoken@0.7.0"
"58","nvidia-cuda-cupti-cu12","12.8.90","library","","","Unknown","pkg:pypi/nvidia-cuda-cupti-cu12@12.8.90"
"59","sympy","1.14.0","library","","","Unknown","pkg:pypi/sympy@1.14.0"
"60","mpmath","1.3.0","library","","","Unknown","pkg:pypi/mpmath@1.3.0"
"61","networkx","3.6.1","library","","","Unknown","pkg:pypi/networkx@3.6.1"
"62","nvidia-nvshmem-cu12","3.4.5","library","","","Unknown","pkg:pypi/nvidia-nvshmem-cu12@3.4.5"
"63","nvidia-cusparselt-cu12","0.7.1","library","","","Unknown","pkg:pypi/nvidia-cusparselt-cu12@0.7.1"
"64","nvidia-cusolver-cu12","11.7.3.90","library","","","Unknown","pkg:pypi/nvidia-cusolver-cu12@11.7.3.90"
"65","nvidia-nvjitlink-cu12","12.8.93","library","","","Unknown","pkg:pypi/nvidia-nvjitlink-cu12@12.8.93"
"66","nvidia-cusparse-cu12","12.5.8.93","library","","","Unknown","pkg:pypi/nvidia-cusparse-cu12@12.5.8.93"
"67","nvidia-cublas-cu12","12.8.4.1","library","","","Unknown","pkg:pypi/nvidia-cublas-cu12@12.8.4.1"
"68","nvidia-cuda-nvrtc-cu12","12.8.93","library","","","Unknown","pkg:pypi/nvidia-cuda-nvrtc-cu12@12.8.93"
"69","nvidia-nvtx-cu12","12.8.90","library","","","Unknown","pkg:pypi/nvidia-nvtx-cu12@12.8.90"
"70","nvidia-cudnn-cu12","9.10.2.21","library","","","Unknown","pkg:pypi/nvidia-cudnn-cu12@9.10.2.21"
"71","jinja2","3.1.6","library","","","Unknown","pkg:pypi/jinja2@3.1.6"
"72","markupsafe","3.0.3","library","","","Unknown","pkg:pypi/markupsafe@3.0.3"
"73","cuda-bindings","12.9.4","library","","","Unknown","pkg:pypi/cuda-bindings@12.9.4"
"74","cuda-pathfinder","1.3.4","library","","","Unknown","pkg:pypi/cuda-pathfinder@1.3.4"
"75","nvidia-cufile-cu12","1.13.1.3","library","","","Unknown","pkg:pypi/nvidia-cufile-cu12@1.13.1.3"
"76","nvidia-nccl-cu12","2.27.5","library","","","Unknown","pkg:pypi/nvidia-nccl-cu12@2.27.5"
"77","nvidia-curand-cu12","10.3.9.90","library","","","Unknown","pkg:pypi/nvidia-curand-cu12@10.3.9.90"
"78","nvidia-cuda-runtime-cu12","12.8.90","library","","","Unknown","pkg:pypi/nvidia-cuda-runtime-cu12@12.8.90"
"79","nvidia-cufft-cu12","11.3.3.83","library","","","Unknown","pkg:pypi/nvidia-cufft-cu12@11.3.3.83"
"80","tldextract","5.3.1","library","","","Unknown","pkg:pypi/tldextract@5.3.1"
"81","requests-file","3.0.1","library","","","Unknown","pkg:pypi/requests-file@3.0.1"
"82","thinc","8.3.10","library","","","Unknown","pkg:pypi/thinc@8.3.10"
"83","preshed","3.0.12","library","","","Unknown","pkg:pypi/preshed@3.0.12"
"84","cymem","2.0.13","library","","","Unknown","pkg:pypi/cymem@2.0.13"
"85","murmurhash","1.0.15","library","","","Unknown","pkg:pypi/murmurhash@1.0.15"
"86","setuptools","66.1.1","library","","","Unknown","pkg:pypi/setuptools@66.1.1"
"87","blis","1.3.3","library","","","Unknown","pkg:pypi/blis@1.3.3"
"88","structlog","25.5.0","library","","","Unknown","pkg:pypi/structlog@25.5.0"
"89","starlette","0.41.3","library","","","Unknown","pkg:pypi/starlette@0.41.3"
"90","spacy","3.8.11","library","","","Unknown","pkg:pypi/spacy@3.8.11"
"91","spacy-legacy","3.0.12","library","","","Unknown","pkg:pypi/spacy-legacy@3.0.12"
"92","spacy-loggers","1.0.5","library","","","Unknown","pkg:pypi/spacy-loggers@1.0.5"
"93","six","1.17.0","library","","","Unknown","pkg:pypi/six@1.17.0"
"94","python-dateutil","2.9.0.post0","library","","","Unknown","pkg:pypi/python-dateutil@2.9.0.post0"
"95","dnspython","2.8.0","library","","","Unknown","pkg:pypi/dnspython@2.8.0"
"96","pycryptodome","3.23.0","library","","","Unknown","pkg:pypi/pycryptodome@3.23.0"
"97","presidio-anonymizer","2.2.354","library","","","Unknown","pkg:pypi/presidio-anonymizer@2.2.354"
"98","presidio-analyzer","2.2.354","library","","","Unknown","pkg:pypi/presidio-analyzer@2.2.354"
"99","phonenumbers","8.13.55","library","","","Unknown","pkg:pypi/phonenumbers@8.13.55"
"100","oldest-supported-numpy","2023.12.21","library","","","Unknown","pkg:pypi/oldest-supported-numpy@2023.12.21"
"101","nltk","3.9.2","library","","","Unknown","pkg:pypi/nltk@3.9.2"
"102","joblib","1.5.3","library","","","Unknown","pkg:pypi/joblib@1.5.3"
"103","json-repair","0.28.4","library","","","Unknown","pkg:pypi/json-repair@0.28.4"
"104","bc-detect-secrets","1.5.15","library","","","Unknown","pkg:pypi/bc-detect-secrets@1.5.15"
"105","Faker","27.4.0","library","","","Unknown","pkg:pypi/faker@27.4.0"
"106","fuzzysearch","0.8.1","library","","","Unknown","pkg:pypi/fuzzysearch@0.8.1"
"107","attrs","25.4.0","library","","","Unknown","pkg:pypi/attrs@25.4.0"
"108","httptools","0.7.1","library","","","Unknown","pkg:pypi/httptools@0.7.1"
"109","colorama","0.4.6","library","","","Unknown","pkg:pypi/colorama@0.4.6"
